DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,TIMESTAMP,PORT OF ORIGIN,PORT OF DESTINATION,VESSEL TYPE
2023-03-06 08:00:00,419000001,21.42788,71.981547,282,2023-03-06 08:00:00,Mumbai,Singapore,Cargo
2023-03-06 12:00:00,419000001,16.247116,77.958955,124,2023-03-06 12:00:00,Mumbai,Dubai,Cargo
2023-03-06 16:00:00,419000001,19.0042,74.757496,50,2023-03-06 16:00:00,Mumbai,Colombo,Cargo
2023-03-06 20:00:00,419000001,16.102734,70.076002,353,2023-03-06 20:00:00,Mumbai,Dubai,Cargo
2023-03-07 00:00:00,419000001,18.941215,74.835606,88,2023-03-07 00:00:00,Mumbai,Singapore,Cargo
2023-03-07 04:00:00,419000001,21.822902,79.376937,174,2023-03-07 04:00:00,Mumbai,Dubai,Cargo
2023-03-07 08:00:00,419000001,15.23733,70.954933,159,2023-03-07 08:00:00,Mumbai,Colombo,Cargo
2023-03-07 12:00:00,419000001,15.004609,78.412816,4,2023-03-07 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-07 16:00:00,419000001,13.903509,77.3457,218,2023-03-07 16:00:00,Mumbai,Hong Kong,Cargo
2023-03-07 20:00:00,419000001,13.680748,78.976832,7,2023-03-07 20:00:00,Mumbai,Singapore,Cargo
2023-03-08 00:00:00,419000001,16.507625,70.117653,328,2023-03-08 00:00:00,Mumbai,Singapore,Cargo
2023-03-08 04:00:00,419000001,14.363231,77.648388,41,2023-03-08 04:00:00,Mumbai,Colombo,Cargo
2023-03-08 08:00:00,419000001,15.449719,73.924049,18,2023-03-08 08:00:00,Mumbai,Dubai,Cargo
2023-03-08 12:00:00,419000001,20.451394,76.942257,309,2023-03-08 12:00:00,Mumbai,Singapore,Cargo
2023-03-08 16:00:00,419000001,20.465301,72.481493,351,2023-03-08 16:00:00,Mumbai,Hong Kong,Cargo
2023-03-08 20:00:00,419000001,17.827111,74.671773,346,2023-03-08 20:00:00,Mumbai,Dubai,Cargo
2023-03-09 00:00:00,419000001,17.392562,74.21007,339,2023-03-09 00:00:00,Mumbai,Singapore,Cargo
2023-03-09 04:00:00,419000001,20.192889,71.474556,160,2023-03-09 04:00:00,Mumbai,Colombo,Cargo
2023-03-09 08:00:00,419000001,19.343337,78.830274,82,2023-03-09 08:00:00,Mumbai,Singapore,Cargo
2023-03-09 12:00:00,419000001,19.925818,79.477102,296,2023-03-09 12:00:00,Mumbai,Colombo,Cargo
2023-03-09 16:00:00,419000001,21.381181,74.448563,265,2023-03-09 16:00:00,Mumbai,Hong Kong,Cargo
2023-03-09 20:00:00,419000001,14.018724,71.541899,46,2023-03-09 20:00:00,Mumbai,Dubai,Cargo
2023-03-10 00:00:00,419000001,13.977217,72.959612,102,2023-03-10 00:00:00,Mumbai,Colombo,Cargo
2023-03-10 04:00:00,419000001,12.391062,70.124707,339,2023-03-10 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-10 08:00:00,419000001,19.781931,73.312724,169,2023-03-10 08:00:00,Mumbai,Hong Kong,Cargo
2023-03-10 12:00:00,419000001,17.125653,72.932177,186,2023-03-10 12:00:00,Mumbai,Dubai,Cargo
2023-03-10 16:00:00,419000001,16.140548,75.150497,284,2023-03-10 16:00:00,Mumbai,Singapore,Cargo
2023-03-10 20:00:00,419000001,20.05383,78.152183,2,2023-03-10 20:00:00,Mumbai,Colombo,Cargo
2023-03-11 00:00:00,419000001,18.975349,79.364146,342,2023-03-11 00:00:00,Mumbai,Colombo,Cargo
2023-03-11 04:00:00,419000001,16.849567,71.66371,266,2023-03-11 04:00:00,Mumbai,Dubai,Cargo
2023-03-11 08:00:00,419000001,15.156777,70.280088,292,2023-03-11 08:00:00,Mumbai,Dubai,Cargo
2023-03-11 12:00:00,419000001,17.575271,71.999934,109,2023-03-11 12:00:00,Mumbai,Dubai,Cargo
2023-03-11 16:00:00,419000001,19.450106,75.001651,152,2023-03-11 16:00:00,Mumbai,Hong Kong,Cargo
2023-03-11 20:00:00,419000001,15.094344,79.439391,277,2023-03-11 20:00:00,Mumbai,Colombo,Cargo
2023-03-12 00:00:00,419000001,18.735358,73.597856,137,2023-03-12 00:00:00,Mumbai,Hong Kong,Cargo
2023-03-12 04:00:00,419000001,18.713367,70.249324,117,2023-03-12 04:00:00,Mumbai,Colombo,Cargo
2023-03-12 08:00:00,419000001,12.669791,77.285775,221,2023-03-12 08:00:00,Mumbai,Singapore,Cargo
2023-03-12 12:00:00,419000001,15.667703,78.431057,281,2023-03-12 12:00:00,Mumbai,Singapore,Cargo
2023-03-12 16:00:00,419000001,16.926041,71.18017,281,2023-03-12 16:00:00,Mumbai,Dubai,Cargo
2023-03-12 20:00:00,419000001,18.927513,75.863514,12,2023-03-12 20:00:00,Mumbai,Colombo,Cargo
2023-03-13 00:00:00,419000001,14.648099,77.514756,133,2023-03-13 00:00:00,Mumbai,Colombo,Cargo
2023-03-13 04:00:00,419000001,20.387901,79.626773,215,2023-03-13 04:00:00,Mumbai,Singapore,Cargo
2023-03-13 08:00:00,419000001,17.203325,78.132805,265,2023-03-13 08:00:00,Mumbai,Singapore,Cargo
2023-03-13 12:00:00,419000001,20.879748,78.500018,43,2023-03-13 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-13 16:00:00,419000001,15.18278,70.554175,256,2023-03-13 16:00:00,Mumbai,Dubai,Cargo
2023-03-13 20:00:00,419000001,15.79792,76.260838,231,2023-03-13 20:00:00,Mumbai,Dubai,Cargo
2023-03-14 00:00:00,419000001,20.93304,73.08501,157,2023-03-14 00:00:00,Mumbai,Colombo,Cargo
2023-03-14 04:00:00,419000001,17.58241,72.304787,315,2023-03-14 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-14 08:00:00,419000001,13.690757,79.820992,177,2023-03-14 08:00:00,Mumbai,Singapore,Cargo
2023-03-14 12:00:00,419000001,14.33455,74.271239,91,2023-03-14 12:00:00,Mumbai,Colombo,Cargo
2023-03-14 16:00:00,419000001,15.1881,74.343007,302,2023-03-14 16:00:00,Mumbai,Singapore,Cargo
2023-03-14 20:00:00,419000001,14.765544,77.272514,112,2023-03-14 20:00:00,Mumbai,Colombo,Cargo
2023-03-15 00:00:00,419000001,14.076358,73.102865,306,2023-03-15 00:00:00,Mumbai,Singapore,Cargo
2023-03-15 04:00:00,419000001,20.947176,73.60412,238,2023-03-15 04:00:00,Mumbai,Dubai,Cargo
2023-03-15 08:00:00,419000001,12.488026,73.948485,10,2023-03-15 08:00:00,Mumbai,Colombo,Cargo
2023-03-15 12:00:00,419000001,13.144854,71.227729,165,2023-03-15 12:00:00,Mumbai,Dubai,Cargo
2023-03-15 16:00:00,419000001,14.847727,71.067774,151,2023-03-15 16:00:00,Mumbai,Singapore,Cargo
2023-03-15 20:00:00,419000001,17.226901,77.788857,289,2023-03-15 20:00:00,Mumbai,Hong Kong,Cargo
2023-03-16 00:00:00,419000001,21.207058,79.726339,227,2023-03-16 00:00:00,Mumbai,Colombo,Cargo
2023-03-16 04:00:00,419000001,14.596845,75.686988,225,2023-03-16 04:00:00,Mumbai,Colombo,Cargo
2023-03-16 08:00:00,419000001,12.482883,75.682674,209,2023-03-16 08:00:00,Mumbai,Colombo,Cargo
2023-03-16 12:00:00,419000001,17.162956,75.508911,50,2023-03-16 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-16 16:00:00,419000001,20.734383,77.192292,17,2023-03-16 16:00:00,Mumbai,Colombo,Cargo
2023-03-16 20:00:00,419000001,21.177846,78.413272,148,2023-03-16 20:00:00,Mumbai,Dubai,Cargo
2023-03-17 00:00:00,419000001,21.57999,76.106705,341,2023-03-17 00:00:00,Mumbai,Colombo,Cargo
2023-03-17 04:00:00,419000001,12.375531,73.217613,303,2023-03-17 04:00:00,Mumbai,Colombo,Cargo
2023-03-17 08:00:00,419000001,18.551238,74.180909,337,2023-03-17 08:00:00,Mumbai,Singapore,Cargo
2023-03-17 12:00:00,419000001,16.914781,79.155346,116,2023-03-17 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-17 16:00:00,419000001,15.864702,70.469024,17,2023-03-17 16:00:00,Mumbai,Singapore,Cargo
2023-03-17 20:00:00,419000001,15.195428,75.631644,48,2023-03-17 20:00:00,Mumbai,Hong Kong,Cargo
2023-03-18 00:00:00,419000001,16.370004,71.604647,57,2023-03-18 00:00:00,Mumbai,Dubai,Cargo
2023-03-18 04:00:00,419000001,16.644376,71.749517,320,2023-03-18 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-18 08:00:00,419000001,18.864379,76.73174,249,2023-03-18 08:00:00,Mumbai,Singapore,Cargo
2023-03-18 12:00:00,419000001,17.506777,79.225376,75,2023-03-18 12:00:00,Mumbai,Colombo,Cargo
2023-03-18 16:00:00,419000001,13.892717,75.356535,31,2023-03-18 16:00:00,Mumbai,Colombo,Cargo
2023-03-18 20:00:00,419000001,14.252239,75.609332,149,2023-03-18 20:00:00,Mumbai,Singapore,Cargo
2023-03-19 00:00:00,419000001,15.875949,79.261852,72,2023-03-19 00:00:00,Mumbai,Dubai,Cargo
2023-03-19 04:00:00,419000001,17.847252,76.122343,19,2023-03-19 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-19 08:00:00,419000001,18.438024,71.38267,252,2023-03-19 08:00:00,Mumbai,Hong Kong,Cargo
2023-03-19 12:00:00,419000001,15.113661,75.940164,97,2023-03-19 12:00:00,Mumbai,Dubai,Cargo
2023-03-19 16:00:00,419000001,16.844487,75.843187,265,2023-03-19 16:00:00,Mumbai,Hong Kong,Cargo
2023-03-19 20:00:00,419000001,13.623112,73.445355,26,2023-03-19 20:00:00,Mumbai,Dubai,Cargo
2023-03-20 00:00:00,419000001,19.228383,76.184531,279,2023-03-20 00:00:00,Mumbai,Colombo,Cargo
2023-03-20 04:00:00,419000001,15.465882,74.197286,255,2023-03-20 04:00:00,Mumbai,Singapore,Cargo
2023-03-20 08:00:00,419000001,20.199217,79.590139,194,2023-03-20 08:00:00,Mumbai,Dubai,Cargo
2023-03-20 12:00:00,419000001,20.986918,77.644544,58,2023-03-20 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-20 16:00:00,419000001,15.920418,74.434262,228,2023-03-20 16:00:00,Mumbai,Colombo,Cargo
2023-03-20 20:00:00,419000001,12.112682,72.057387,53,2023-03-20 20:00:00,Mumbai,Colombo,Cargo
2023-03-21 00:00:00,419000001,12.063972,78.022005,122,2023-03-21 00:00:00,Mumbai,Colombo,Cargo
2023-03-21 04:00:00,419000001,17.472288,71.683501,334,2023-03-21 04:00:00,Mumbai,Singapore,Cargo
2023-03-21 08:00:00,419000001,14.941055,79.921415,280,2023-03-21 08:00:00,Mumbai,Singapore,Cargo
2023-03-21 12:00:00,419000001,18.841458,76.519433,70,2023-03-21 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-21 16:00:00,419000001,21.597312,74.254875,204,2023-03-21 16:00:00,Mumbai,Singapore,Cargo
2023-03-21 20:00:00,419000001,19.999283,78.075229,206,2023-03-21 20:00:00,Mumbai,Singapore,Cargo
2023-03-22 00:00:00,419000001,20.017873,79.685616,79,2023-03-22 00:00:00,Mumbai,Hong Kong,Cargo
2023-03-22 04:00:00,419000001,18.51861,77.343099,225,2023-03-22 04:00:00,Mumbai,Singapore,Cargo
2023-03-22 08:00:00,419000001,17.151436,76.181529,228,2023-03-22 08:00:00,Mumbai,Dubai,Cargo
2023-03-22 12:00:00,419000001,18.113884,76.638125,166,2023-03-22 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-22 16:00:00,419000001,18.442318,76.006305,287,2023-03-22 16:00:00,Mumbai,Dubai,Cargo
2023-03-22 20:00:00,419000001,18.606131,72.229559,182,2023-03-22 20:00:00,Mumbai,Colombo,Cargo
2023-03-23 00:00:00,419000001,18.831755,79.272343,29,2023-03-23 00:00:00,Mumbai,Hong Kong,Cargo
2023-03-23 04:00:00,419000001,19.913863,79.264463,66,2023-03-23 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-23 08:00:00,419000001,16.897783,72.109006,165,2023-03-23 08:00:00,Mumbai,Dubai,Cargo
2023-03-23 12:00:00,419000001,21.366542,76.051567,93,2023-03-23 12:00:00,Mumbai,Singapore,Cargo
2023-03-23 16:00:00,419000001,21.826944,71.894825,12,2023-03-23 16:00:00,Mumbai,Singapore,Cargo
2023-03-23 20:00:00,419000001,14.383898,77.646117,227,2023-03-23 20:00:00,Mumbai,Hong Kong,Cargo
2023-03-24 00:00:00,419000001,13.679106,77.85759,323,2023-03-24 00:00:00,Mumbai,Dubai,Cargo
2023-03-24 04:00:00,419000001,17.547062,79.847796,286,2023-03-24 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-24 08:00:00,419000001,14.422255,72.835118,163,2023-03-24 08:00:00,Mumbai,Colombo,Cargo
2023-03-24 12:00:00,419000001,13.911075,76.154241,233,2023-03-24 12:00:00,Mumbai,Colombo,Cargo
2023-03-24 16:00:00,419000001,12.446229,75.615775,21,2023-03-24 16:00:00,Mumbai,Colombo,Cargo
2023-03-24 20:00:00,419000001,18.458225,78.760714,99,2023-03-24 20:00:00,Mumbai,Dubai,Cargo
2023-03-25 00:00:00,419000001,20.24805,75.22715,161,2023-03-25 00:00:00,Mumbai,Singapore,Cargo
2023-03-25 04:00:00,419000001,14.666799,77.730296,151,2023-03-25 04:00:00,Mumbai,Dubai,Cargo
2023-03-25 08:00:00,419000001,18.175582,75.900414,83,2023-03-25 08:00:00,Mumbai,Singapore,Cargo
2023-03-25 12:00:00,419000001,17.431404,78.739623,339,2023-03-25 12:00:00,Mumbai,Dubai,Cargo
2023-03-25 16:00:00,419000001,17.95512,74.282235,349,2023-03-25 16:00:00,Mumbai,Colombo,Cargo
2023-03-25 20:00:00,419000001,14.171958,72.311587,131,2023-03-25 20:00:00,Mumbai,Singapore,Cargo
2023-03-26 00:00:00,419000001,15.44919,74.83987,15,2023-03-26 00:00:00,Mumbai,Singapore,Cargo
2023-03-26 04:00:00,419000001,16.728768,71.471499,18,2023-03-26 04:00:00,Mumbai,Dubai,Cargo
2023-03-26 08:00:00,419000001,15.481927,73.58618,102,2023-03-26 08:00:00,Mumbai,Hong Kong,Cargo
2023-03-26 12:00:00,419000001,17.99814,74.189141,142,2023-03-26 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-26 16:00:00,419000001,12.491859,77.138127,329,2023-03-26 16:00:00,Mumbai,Dubai,Cargo
2023-03-26 20:00:00,419000001,20.436583,72.145465,13,2023-03-26 20:00:00,Mumbai,Singapore,Cargo
2023-03-27 00:00:00,419000001,19.355325,74.228425,137,2023-03-27 00:00:00,Mumbai,Hong Kong,Cargo
2023-03-27 04:00:00,419000001,17.517854,78.272015,305,2023-03-27 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-27 08:00:00,419000001,12.385424,72.494417,285,2023-03-27 08:00:00,Mumbai,Colombo,Cargo
2023-03-27 12:00:00,419000001,18.564383,74.927682,344,2023-03-27 12:00:00,Mumbai,Dubai,Cargo
2023-03-27 16:00:00,419000001,15.423618,72.186633,231,2023-03-27 16:00:00,Mumbai,Colombo,Cargo
2023-03-27 20:00:00,419000001,15.898161,72.757098,224,2023-03-27 20:00:00,Mumbai,Singapore,Cargo
2023-03-28 00:00:00,419000001,16.877819,74.113437,276,2023-03-28 00:00:00,Mumbai,Dubai,Cargo
2023-03-28 04:00:00,419000001,13.553866,75.699545,355,2023-03-28 04:00:00,Mumbai,Colombo,Cargo
2023-03-28 08:00:00,419000001,14.41873,74.438555,131,2023-03-28 08:00:00,Mumbai,Singapore,Cargo
2023-03-28 12:00:00,419000001,15.700167,79.629285,14,2023-03-28 12:00:00,Mumbai,Dubai,Cargo
2023-03-28 16:00:00,419000001,13.040783,79.56188,199,2023-03-28 16:00:00,Mumbai,Colombo,Cargo
2023-03-28 20:00:00,419000001,13.180242,70.254125,79,2023-03-28 20:00:00,Mumbai,Hong Kong,Cargo
2023-03-29 00:00:00,419000001,19.2303,75.536349,40,2023-03-29 00:00:00,Mumbai,Colombo,Cargo
2023-03-29 04:00:00,419000001,19.733239,70.095075,122,2023-03-29 04:00:00,Mumbai,Dubai,Cargo
2023-03-29 08:00:00,419000001,16.151053,70.452325,78,2023-03-29 08:00:00,Mumbai,Hong Kong,Cargo
2023-03-29 12:00:00,419000001,14.920688,78.210628,149,2023-03-29 12:00:00,Mumbai,Dubai,Cargo
2023-03-29 16:00:00,419000001,13.929957,75.828906,63,2023-03-29 16:00:00,Mumbai,Colombo,Cargo
2023-03-29 20:00:00,419000001,18.545266,76.238567,220,2023-03-29 20:00:00,Mumbai,Hong Kong,Cargo
2023-03-30 00:00:00,419000001,18.082338,71.974762,307,2023-03-30 00:00:00,Mumbai,Singapore,Cargo
2023-03-30 04:00:00,419000001,19.188361,77.291007,99,2023-03-30 04:00:00,Mumbai,Colombo,Cargo
2023-03-30 08:00:00,419000001,14.10231,72.344026,123,2023-03-30 08:00:00,Mumbai,Dubai,Cargo
2023-03-30 12:00:00,419000001,16.925332,79.416861,202,2023-03-30 12:00:00,Mumbai,Singapore,Cargo
2023-03-30 16:00:00,419000001,13.950403,73.002813,47,2023-03-30 16:00:00,Mumbai,Colombo,Cargo
2023-03-30 20:00:00,419000001,18.28016,76.68786,215,2023-03-30 20:00:00,Mumbai,Colombo,Cargo
2023-03-31 00:00:00,419000001,18.439318,77.14924,257,2023-03-31 00:00:00,Mumbai,Colombo,Cargo
2023-03-31 04:00:00,419000001,12.471908,72.661314,156,2023-03-31 04:00:00,Mumbai,Dubai,Cargo
2023-03-31 08:00:00,419000001,13.097567,77.077201,252,2023-03-31 08:00:00,Mumbai,Hong Kong,Cargo
2023-03-31 12:00:00,419000001,15.811445,75.796243,45,2023-03-31 12:00:00,Mumbai,Dubai,Cargo
2023-03-31 16:00:00,419000001,21.939592,77.381195,108,2023-03-31 16:00:00,Mumbai,Hong Kong,Cargo
2023-03-31 20:00:00,419000001,17.611215,75.643795,146,2023-03-31 20:00:00,Mumbai,Colombo,Cargo
2023-04-01 00:00:00,419000001,12.927374,70.353188,193,2023-04-01 00:00:00,Mumbai,Hong Kong,Cargo
2023-04-01 04:00:00,419000001,14.390828,70.900771,274,2023-04-01 04:00:00,Mumbai,Singapore,Cargo
2023-04-01 08:00:00,419000001,19.131996,75.551005,46,2023-04-01 08:00:00,Mumbai,Dubai,Cargo
2023-04-01 12:00:00,419000001,18.685696,72.610935,5,2023-04-01 12:00:00,Mumbai,Colombo,Cargo
2023-04-01 16:00:00,419000001,20.436966,74.043232,194,2023-04-01 16:00:00,Mumbai,Colombo,Cargo
2023-04-01 20:00:00,419000001,18.177868,72.280294,220,2023-04-01 20:00:00,Mumbai,Colombo,Cargo
2023-04-02 00:00:00,419000001,18.694279,78.176527,339,2023-04-02 00:00:00,Mumbai,Dubai,Cargo
2023-04-02 04:00:00,419000001,20.630705,77.014779,334,2023-04-02 04:00:00,Mumbai,Dubai,Cargo
2023-04-02 08:00:00,419000001,21.26689,74.025004,277,2023-04-02 08:00:00,Mumbai,Hong Kong,Cargo
2023-04-02 12:00:00,419000001,16.682678,73.526241,236,2023-04-02 12:00:00,Mumbai,Dubai,Cargo
2023-04-02 16:00:00,419000001,20.765513,73.183458,68,2023-04-02 16:00:00,Mumbai,Hong Kong,Cargo
2023-04-02 20:00:00,419000001,13.269741,74.875097,77,2023-04-02 20:00:00,Mumbai,Colombo,Cargo
2023-04-03 00:00:00,419000001,14.858071,74.534718,235,2023-04-03 00:00:00,Mumbai,Hong Kong,Cargo
2023-04-03 04:00:00,419000001,21.299538,78.899435,56,2023-04-03 04:00:00,Mumbai,Dubai,Cargo
2023-04-03 08:00:00,419000001,21.886268,74.16923,321,2023-04-03 08:00:00,Mumbai,Dubai,Cargo
2023-04-03 12:00:00,419000001,13.457365,74.378928,261,2023-04-03 12:00:00,Mumbai,Colombo,Cargo
2023-04-03 16:00:00,419000001,20.903762,76.558872,188,2023-04-03 16:00:00,Mumbai,Dubai,Cargo
2023-04-03 20:00:00,419000001,14.633636,73.690113,1,2023-04-03 20:00:00,Mumbai,Singapore,Cargo
2023-04-04 00:00:00,419000001,21.238371,75.046337,128,2023-04-04 00:00:00,Mumbai,Singapore,Cargo
2023-04-04 04:00:00,419000001,14.560731,70.184915,357,2023-04-04 04:00:00,Mumbai,Dubai,Cargo
2023-04-04 08:00:00,419000001,20.525151,70.4973,35,2023-04-04 08:00:00,Mumbai,Singapore,Cargo
2023-04-04 12:00:00,419000001,21.225421,79.623156,291,2023-04-04 12:00:00,Mumbai,Hong Kong,Cargo
2023-04-04 16:00:00,419000001,20.396722,71.021905,352,2023-04-04 16:00:00,Mumbai,Dubai,Cargo
2023-04-04 20:00:00,419000001,20.656432,74.481039,315,2023-04-04 20:00:00,Mumbai,Dubai,Cargo
2023-04-05 00:00:00,419000001,12.203633,77.575159,344,2023-04-05 00:00:00,Mumbai,Dubai,Cargo
2023-04-05 04:00:00,419000001,19.575952,73.656316,225,2023-04-05 04:00:00,Mumbai,Dubai,Cargo
2023-04-05 08:00:00,419000001,16.742513,71.092177,144,2023-04-05 08:00:00,Mumbai,Singapore,Cargo
2023-04-05 12:00:00,419000001,17.628928,71.245915,194,2023-04-05 12:00:00,Mumbai,Colombo,Cargo
2023-04-05 16:00:00,419000001,21.340756,79.284271,244,2023-04-05 16:00:00,Mumbai,Hong Kong,Cargo
2023-04-05 20:00:00,419000001,19.24978,76.158274,89,2023-04-05 20:00:00,Mumbai,Dubai,Cargo
2023-04-06 00:00:00,419000001,20.602338,71.859752,354,2023-04-06 00:00:00,Mumbai,Colombo,Cargo
2023-04-06 04:00:00,419000001,12.601643,79.242074,328,2023-04-06 04:00:00,Mumbai,Hong Kong,Cargo
2023-04-06 08:00:00,419000001,19.000904,73.026751,190,2023-04-06 08:00:00,Mumbai,Dubai,Cargo
2023-04-06 12:00:00,419000001,15.576245,78.454264,27,2023-04-06 12:00:00,Mumbai,Hong Kong,Cargo
2023-04-06 16:00:00,419000001,20.62002,70.926713,259,2023-04-06 16:00:00,Mumbai,Singapore,Cargo
2023-04-06 20:00:00,419000001,15.873695,76.290065,323,2023-04-06 20:00:00,Mumbai,Colombo,Cargo
2023-04-07 00:00:00,419000001,13.257679,74.09326,97,2023-04-07 00:00:00,Mumbai,Colombo,Cargo
2023-04-07 04:00:00,419000001,15.108398,74.17115,190,2023-04-07 04:00:00,Mumbai,Singapore,Cargo
2023-04-07 08:00:00,419000001,15.717519,77.046739,197,2023-04-07 08:00:00,Mumbai,Dubai,Cargo
2023-04-07 12:00:00,419000001,13.988268,74.808201,233,2023-04-07 12:00:00,Mumbai,Hong Kong,Cargo
2023-04-07 16:00:00,419000001,13.060831,71.434059,346,2023-04-07 16:00:00,Mumbai,Colombo,Cargo
2023-04-07 20:00:00,419000001,21.886413,79.652751,190,2023-04-07 20:00:00,Mumbai,Colombo,Cargo
2023-04-08 00:00:00,419000001,12.716594,78.165863,150,2023-04-08 00:00:00,Mumbai,Colombo,Cargo
2023-04-08 04:00:00,419000001,21.517441,73.232281,15,2023-04-08 04:00:00,Mumbai,Singapore,Cargo
2023-04-08 08:00:00,419000001,13.040916,79.315462,126,2023-04-08 08:00:00,Mumbai,Dubai,Cargo
2023-04-08 12:00:00,419000001,20.224241,78.661253,2,2023-04-08 12:00:00,Mumbai,Colombo,Cargo
2023-04-08 16:00:00,419000001,17.122522,78.832038,102,2023-04-08 16:00:00,Mumbai,Colombo,Cargo
2023-04-08 20:00:00,419000001,14.623731,71.628834,332,2023-04-08 20:00:00,Mumbai,Colombo,Cargo
2023-04-09 00:00:00,419000001,14.178428,75.053977,53,2023-04-09 00:00:00,Mumbai,Colombo,Cargo
2023-04-09 04:00:00,419000001,15.833691,74.678738,135,2023-04-09 04:00:00,Mumbai,Dubai,Cargo
